Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.283745486285077,103.85836055507814,4,30.0,1.2817182444209287,103.84801795711672,4,30,1.2949435551705644,103.84651592006836,4,60,1.3043181456935469,103.84988477459108,4,10
1.2904493169681923,103.85165235033188,3,120.0,1.3007946337731575,103.85396173229373,4,60,1.295171484700234,103.8519581221596,3,60,1.2943857981173938,103.8466661237732,1,60
1.3138397,103.8159136,4,60.0,1.2846129,103.8466747,4,10,1.2938682,103.8466283,4,60,1.2865657,103.8465437,3,10
1.2847549350994278,103.84280707533264,4,90.0,1.2838861176973737,103.8519319504013,1,45,1.2846182775912174,103.83991416931154,3,90,1.2898414662202502,103.83748733068848,1,45
1.2996642245572774,103.8437404840698,4,15.0,1.2850338146966895,103.84331133062744,1,15,1.2811294975667329,103.856743833374,2,60,1.28014269119561,103.83730318243408,1,10
1.2906024,103.8464742,1,180.0,1.2844837,103.8513447,1,30,1.2863712,103.8252983,1,90,1.2758577,103.8191846,1,30
1.2870491362483156,103.85419776668702,4,90.0,1.2897521193988957,103.85397246112976,4,30,1.2938280409415046,103.84630134334718,4,180,1.2760941,103.8481899,4,60
1.2994056071731268,103.84591510524903,1,60.0,1.2859336185568278,103.84231021633302,1,60,1.2875210858937447,103.85145118465576,1,60,1.2895805015062891,103.86316707363282,1,45
1.2890066540941074,103.85602703323518,4,60.0,1.3004339696039926,103.85488977661286,4,120,1.2807207121207165,103.8710178994194,4,240,1.2883738128728457,103.8512741588608,1,15
1.2841891312075706,103.85080810482404,2,30.0,1.2877367999839917,103.84901907141112,1,30,1.292735169983291,103.86418964559935,1,60,1.295695573328284,103.85176565344236,1,5
